faq_id,category,intent,question,answer,risk_level,layer,ref_script_id,sku_id,source,updated_at
FAQ-SCRIPT-033,售后,return_exchange,拆封了还能退吗,退货通常需保持商品、配件、赠品、包装和凭证完整，不影响二次销售；具体标准以平台售后页和商品说明为准。,low,platform,SCRIPT-033,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-034,售后,return_exchange,退货运费谁出,退货运费由退货原因、运费险状态和平台判责共同决定。未核验订单和责任前，客服不能承诺由某一方承担。,low,platform,SCRIPT-034,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-035,售后,return_exchange,可以换个尺码吗,能否换货取决于平台入口、商品状态和目标规格库存。实际换货会改变订单履约，请从售后页申请或转人工确认。,low,platform,SCRIPT-035,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-036,退款,refund,退款多久到账,退款通过平台审核后通常按原支付路径退回，到账时间由平台、银行或支付机构决定。具体进度请查看售后详情，异常时转人工核验。,low,platform,SCRIPT-036,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-037,退款,refund,怎么申请退款,退款会改变交易和资金状态，智能客服不能代为执行。请在平台订单的售后入口申请；需要协助时我会转人工。,low,platform,SCRIPT-037,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-038,售后,after_sales,少发了一件,发现少件、漏发或错发，请保留外包装、面单、商品和开箱记录，并提供订单编号。补发、退款或赔付需人工核验后按平台规则处理。,low,platform,SCRIPT-038,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-039,售后,after_sales,商品有质量问题,如有质量问题或商品破损，请停止继续使用并保留清晰照片或视频、包装和订单信息。人工会依据证据和平台规则判断退换方案。,low,platform,SCRIPT-039,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-040,售后,after_sales,售后要提供什么证据,售后核验通常需要订单编号、问题部位照片或视频、外包装和物流面单。请只提交必要信息，并遮盖无关的个人隐私。,low,platform,SCRIPT-040,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-041,赔付,complaint,你们要怎么赔,赔付属于资金和责任判定事项，智能客服不能承诺金额或直接执行。请提供订单与问题证据，由人工依据平台规则核验。,low,platform,SCRIPT-041,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-042,投诉,complaint,我要投诉,很抱歉给您带来不好的体验。我会记录问题并转人工处理；请说明订单和具体情况，不需要提供账号密码、验证码等敏感信息。,low,platform,SCRIPT-042,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-043,人工,human,转人工,好的，我会将当前问题和必要上下文转给人工客服。请不要发送密码、验证码、完整身份证号或银行卡信息。,low,platform,SCRIPT-043,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-044,隐私,privacy,需要提供身份证吗,为保护隐私，请勿在对话中发送密码、验证码、银行卡号或完整身份证号。订单核验只应收集完成当前服务所必需的信息。,low,platform,SCRIPT-044,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-045,安全,security,客服让我发验证码,客服不会索要密码、短信验证码或要求向私人账户转账。遇到此类请求请立即停止操作，通过平台官方入口核验并联系人工客服。,low,platform,SCRIPT-045,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-046,安全,security,能加微信处理吗,请在平台官方订单和售后入口内沟通与支付，不建议转到私人社交账号或点击来源不明的链接，以免失去平台保障。,low,platform,SCRIPT-046,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-047,评价,after_sales,好评返现吗,评价应基于真实体验。客服不能以返现、赠品或其他利益诱导指定评价内容；如有问题，请先通过平台售后渠道解决。,low,platform,SCRIPT-047,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-048,赠品,price_promo,下单有赠品吗,赠品的适用商品、数量和发放条件以活动页及订单结算信息为准，赠完即止的活动需以实际库存为准。,low,platform,SCRIPT-048,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-049,安装,product,包安装吗,是否包含安装、上门或调试服务以商品页服务说明和覆盖地区为准。未标注的服务不能默认承诺，特殊需求请先转人工确认。,low,platform,SCRIPT-049,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-050,定制,product,可以定制吗,定制内容、费用、确认稿和交付周期需在下单前由人工确认。定制商品的取消与退换规则可能不同，请确认后再支付。,low,platform,SCRIPT-050,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-051,服务,greeting,客服几点上班,智能客服可持续接收问题；人工服务时间以店铺页面为准。非人工时段的高风险或复杂事项会先记录，等待人工处理。,low,platform,SCRIPT-051,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-052,边界,unsupported,告诉我竞品真实销量,我只能依据本店已授权的商品、订单和政策信息回答，无法提供其他店铺的真实销量、库存、买家数据或未公开的内部信息。,low,platform,SCRIPT-052,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SEED-ca01,商品保修,product,晴川空气炸锅保修多久？,晴川 AF5 空气炸锅整机保修 12 个月，保修以订单和产品序列信息核验结果为准。,low,product,,QC-AF5-WHITE,fixture,2026-08-12
FAQ-SEED-ed51,物流规则,logistics,订单物流异常怎么办？,先核对订单物流最新节点；若连续 24 小时无更新或显示地址异常，转人工联系承运商核查，不承诺具体送达时间。,medium,store,,,fixture,2026-08-12
FAQ-SEED-028a,价保规则,refund,商品降价可以申请价保吗？,签收后 7 日内可提交价保申请，是否符合条件以活动类型、实付金额和订单状态核验结果为准，客服不得在核验前承诺退款。,high,store,,,fixture,2026-08-12
FAQ-SEED-3070,售后规则,refund,未拆封商品如何退货？,未拆封商品可先提交退货申请，由人工核验订单、商品状态和运费责任后给出处理方案，不直接承诺退款完成。,high,store,,,fixture,2026-08-12
FAQ-MANUAL-5584,商品保修,product,星脉蓝牙耳机保修多久？,星脉 X-M1 蓝牙耳机整机保修 12 个月，内置电池属产品组成部分，保修期内非人为损坏可免费维修。,low,product,,X-M1-WHITE,manual,2026-08-12
FAQ-MANUAL-8fbb,售后规则,refund,数码产品激活后还能退货吗？,数码类商品已激活、含授权信息的产品，一旦产生授权或激活程序，不支持 7 天内无理由退货；激活前可支持退货。,medium,store,,,manual,2026-08-12
FAQ-MANUAL-a72c,售后规则,refund,羽绒服吊牌剪了还能退吗？,服饰类退换需保持吊牌、包装完整；吊牌已剪或丢失，可能影响二次销售，不支持无理由退换。,medium,store,,Y-D01-M,manual,2026-08-12
FAQ-MANUAL-51a5,商品,product,云织羽绒服充绒量是多少？,云织 Y-D01 羽绒服填充 90% 白鸭绒，具体克重请以商品详情页标注为准。,low,product,,Y-D01-M,manual,2026-08-12
FAQ-MANUAL-RETURN-HOW,商品,return,怎么退货？,是否支持七天无理由退货，以商品性质、完好标准、签收时间和平台规则为准。定制、鲜活、已拆封影响二次销售等情形可能不适用。,low,platform,SCRIPT-032,,manual,2026-08-12
FAQ-MANUAL-SHIPPING-TIME,物流,logistics,多久发货？,发货时效以商品页承诺、订单状态和仓库实际处理为准。预售、定制、大促及不可抗力可能影响时间，未核实订单前不能承诺具体发出时刻。,low,platform,SCRIPT-024,,manual,2026-08-12
FAQ-MANUAL-LOGISTICS-COMPLAINT,物流,logistics,物流投诉怎么处理？,具体物流轨迹需要在已授权订单上下文中查询，请先查看平台物流页。若长时间无更新或轨迹异常，我会转人工核验。,low,platform,SCRIPT-028,,manual,2026-08-12
