source,target,rel_type,updated_at,confidence,generated_by
Y-D01-L,Y-D01-L|color,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-L,Y-D01-L|size,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-L,Y-D01-L|material,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-L,Y-D01-L|season,HAS_ATTR,2026-08-12,1.0,rule
SPU-AFR-01,SPU-AFR-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-AFR-01,SPU-AFR-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-01,REAL-AFR-01|material,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-01,REAL-AFR-01|control,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-01,REAL-AFR-01|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
SPU-AFR-02,SPU-AFR-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-AFR-02,SPU-AFR-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-02,REAL-AFR-02|material,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-02,REAL-AFR-02|control,HAS_ATTR,2026-08-12,1.0,rule
REAL-AFR-02,REAL-AFR-02|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
SPU-VAC-01,SPU-VAC-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-VAC-01,SPU-VAC-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-VAC-01,REAL-VAC-01|power_w,HAS_ATTR,2026-08-12,1.0,rule
SPU-VAC-02,SPU-VAC-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-VAC-02,SPU-VAC-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-VAC-02,REAL-VAC-02|power_w,HAS_ATTR,2026-08-12,1.0,rule
SPU-HUM-01,SPU-HUM-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-HUM-01,SPU-HUM-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-HUM-01,REAL-HUM-01|humidity_type,HAS_ATTR,2026-08-12,1.0,rule
SPU-HUM-02,SPU-HUM-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-HUM-02,SPU-HUM-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-HUM-02,REAL-HUM-02|humidity_type,HAS_ATTR,2026-08-12,1.0,rule
SPU-KET-01,SPU-KET-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-KET-01,SPU-KET-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-KET-01,REAL-KET-01|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
REAL-KET-01,REAL-KET-01|material,HAS_ATTR,2026-08-12,1.0,rule
SPU-KET-02,SPU-KET-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-KET-02,SPU-KET-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-KET-02,REAL-KET-02|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
REAL-KET-02,REAL-KET-02|material,HAS_ATTR,2026-08-12,1.0,rule
SPU-FAN-01,SPU-FAN-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-FAN-01,SPU-FAN-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-FAN-01,REAL-FAN-01|control,HAS_ATTR,2026-08-12,1.0,rule
SPU-FAN-02,SPU-FAN-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-FAN-02,SPU-FAN-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-FAN-02,REAL-FAN-02|control,HAS_ATTR,2026-08-12,1.0,rule
SPU-AUD-01,SPU-AUD-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-AUD-01,SPU-AUD-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-AUD-01,REAL-AUD-01|wearing,HAS_ATTR,2026-08-12,1.0,rule
SPU-AUD-02,SPU-AUD-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-AUD-02,SPU-AUD-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-AUD-02,REAL-AUD-02|wearing,HAS_ATTR,2026-08-12,1.0,rule
SPU-PWR-01,SPU-PWR-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-PWR-01,SPU-PWR-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-PWR-01,REAL-PWR-01|capacity_mah,HAS_ATTR,2026-08-12,1.0,rule
SPU-PWR-02,SPU-PWR-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-PWR-02,SPU-PWR-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-PWR-02,REAL-PWR-02|capacity_mah,HAS_ATTR,2026-08-12,1.0,rule
SPU-APP-01,SPU-APP-01|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-APP-01,SPU-APP-01|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-APP-01,REAL-APP-01|material,HAS_ATTR,2026-08-12,1.0,rule
REAL-APP-01,REAL-APP-01|fill,HAS_ATTR,2026-08-12,1.0,rule
SPU-APP-02,SPU-APP-02|brand,HAS_ATTR,2026-08-12,1.0,rule
SPU-APP-02,SPU-APP-02|model,HAS_ATTR,2026-08-12,1.0,rule
REAL-APP-02,REAL-APP-02|material,HAS_ATTR,2026-08-12,1.0,rule
REAL-APP-02,REAL-APP-02|fill,HAS_ATTR,2026-08-12,1.0,rule
