spec_key,attr_key,attr_value,level,owner_id,updated_at
REAL-VAC-01|power_w,power_w,500W以下,SKU,REAL-VAC-01,2026-08-12
SPU-VAC-02|brand,brand,德尔玛,SPU,SPU-VAC-02,2026-08-12
SPU-VAC-02|model,model,Deerma DX700,SPU,SPU-VAC-02,2026-08-12
REAL-VAC-02|power_w,power_w,500W以下,SKU,REAL-VAC-02,2026-08-12
SPU-HUM-01|brand,brand,德尔玛,SPU,SPU-HUM-01,2026-08-12
SPU-HUM-01|model,model,Deerma F628S,SPU,SPU-HUM-01,2026-08-12
REAL-HUM-01|humidity_type,humidity_type,除菌型,SKU,REAL-HUM-01,2026-08-12
SPU-HUM-02|brand,brand,小熊,SPU,SPU-HUM-02,2026-08-12
SPU-HUM-02|model,model,Bear JSQ-C30Q1,SPU,SPU-HUM-02,2026-08-12
REAL-HUM-02|humidity_type,humidity_type,除菌型,SKU,REAL-HUM-02,2026-08-12
SPU-KET-01|brand,brand,苏泊尔,SPU,SPU-KET-01,2026-08-12
SPU-KET-01|model,model,SUPOR SW-17J63B,SPU,SPU-KET-01,2026-08-12
REAL-KET-01|capacity_l,capacity_l,1L,SKU,REAL-KET-01,2026-08-12
REAL-KET-01|material,material,双层不锈钢,SKU,REAL-KET-01,2026-08-12
SPU-KET-02|brand,brand,美的,SPU,SPU-KET-02,2026-08-12
SPU-KET-02|model,model,Midea MK-SH15Colour102,SPU,SPU-KET-02,2026-08-12
REAL-KET-02|capacity_l,capacity_l,1L,SKU,REAL-KET-02,2026-08-12
REAL-KET-02|material,material,双层不锈钢,SKU,REAL-KET-02,2026-08-12
SPU-FAN-01|brand,brand,格力,SPU,SPU-FAN-01,2026-08-12
SPU-FAN-01|model,model,GREE FXDZ-2307Bg5,SPU,SPU-FAN-01,2026-08-12
REAL-FAN-01|control,control,遥控控制,SKU,REAL-FAN-01,2026-08-12
SPU-FAN-02|brand,brand,美的,SPU,SPU-FAN-02,2026-08-12
SPU-FAN-02|model,model,Midea SAC35CR,SPU,SPU-FAN-02,2026-08-12
REAL-FAN-02|control,control,遥控控制,SKU,REAL-FAN-02,2026-08-12
SPU-AUD-01|brand,brand,捷波朗,SPU,SPU-AUD-01,2026-08-12
SPU-AUD-01|model,model,Jabra Elite 7 Active,SPU,SPU-AUD-01,2026-08-12
REAL-AUD-01|wearing,wearing,头戴式,SKU,REAL-AUD-01,2026-08-12
SPU-AUD-02|brand,brand,QCY,SPU,SPU-AUD-02,2026-08-12
SPU-AUD-02|model,model,QCY H3,SPU,SPU-AUD-02,2026-08-12
REAL-AUD-02|wearing,wearing,头戴式,SKU,REAL-AUD-02,2026-08-12
SPU-PWR-01|brand,brand,小米,SPU,SPU-PWR-01,2026-08-12
SPU-PWR-01|model,model,Xiaomi 移动电源 3 20000mAh,SPU,SPU-PWR-01,2026-08-12
REAL-PWR-01|capacity_mah,capacity_mah,25000mAh及以上,SKU,REAL-PWR-01,2026-08-12
SPU-PWR-02|brand,brand,罗马仕,SPU,SPU-PWR-02,2026-08-12
SPU-PWR-02|model,model,ROMOSS 10000mAh 22.5W,SPU,SPU-PWR-02,2026-08-12
REAL-PWR-02|capacity_mah,capacity_mah,25000mAh及以上,SKU,REAL-PWR-02,2026-08-12
SPU-APP-01|brand,brand,雪中飞,SPU,SPU-APP-01,2026-08-12
SPU-APP-01|model,model,雪中飞 XZF2155,SPU,SPU-APP-01,2026-08-12
REAL-APP-01|material,material,牛仔布,SKU,REAL-APP-01,2026-08-12
REAL-APP-01|fill,fill,白鹅绒,SKU,REAL-APP-01,2026-08-12
SPU-APP-02|brand,brand,茵曼,SPU,SPU-APP-02,2026-08-12
SPU-APP-02|model,model,茵曼 INMAN W2302,SPU,SPU-APP-02,2026-08-12
REAL-APP-02|material,material,牛仔布,SKU,REAL-APP-02,2026-08-12
REAL-APP-02|fill,fill,白鹅绒,SKU,REAL-APP-02,2026-08-12
