round,rel_type,source,target,expected,evidence,annotation,verifier,verified_at,confidence,generated_by
1,HAS_ATTR,SPU-APP-01,SPU-APP-01|brand,TRUE,network,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,X-P2-BLACK,X-P2-BLACK|battery_mah,TRUE,attribute.json: X-P2-BLACK|battery_mah 属性定义（battery_mah），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,X-SPU-M1,X-SPU-M1|brand,TRUE,manual,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,QC-SPU-VC1,QC-SPU-VC1|warranty_months,TRUE,fixture,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,QC-KT-17,QC-KT-17|capacity_l,TRUE,attribute.json: QC-KT-17|capacity_l 属性定义（capacity_l），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,X-SPU-M1,X-SPU-M1|warranty_months,TRUE,manual,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,REAL-KET-01,REAL-KET-01|capacity_l,TRUE,attribute.json: REAL-KET-01|capacity_l 属性定义（capacity_l），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,SPU-KET-01,SPU-KET-01|brand,TRUE,network,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,Y-D01-L,Y-D01-L|color,TRUE,attribute.json: Y-D01-L|color 属性定义（color），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,apparel,TRUE,jianghu.taobao.com/detail/47301_58660388 | 七天无理由退货,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,digital_audio,TRUE,jianghu.taobao.com/detail/47301_58660388 | 七天无理由退货,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,digital_power,TRUE,rule.suning.com/ruleInfo/ruleInfoDetail/GZ100004233.htm | 发货时效与延迟赔付,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,digital_power,TRUE,diantuoyi.com/article/16500.html | 价格保护（分场景）,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,air_fryer,TRUE,diantuoyi.com/article/16500.html | 价格保护（分场景）,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,air_fryer,TRUE,jianghu.taobao.com/detail/47301_58660388 | 七天无理由退货,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,WARR-b17b433a,digital,TRUE,manual | 数码产品整机保修1年,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,apparel,TRUE,rule.suning.com/ruleInfo/ruleInfoDetail/GZ100004233.htm | 发货时效与延迟赔付,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,digital,TRUE,jianghu.taobao.com/detail/47301_58660388 | 七天无理由退货,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,WARR-1a256956,home_appliance,TRUE,m.zjtcn.com/news/51290604.html | 小家电整机保修1年,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,cordless_vacuum,TRUE,jianghu.taobao.com/detail/47301_58660388 | 七天无理由退货,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,digital,TRUE,rule.suning.com/ruleInfo/ruleInfoDetail/GZ100004233.htm | 发货时效与延迟赔付,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,air_circulation_fan,TRUE,rule.suning.com/ruleInfo/ruleInfoDetail/GZ100004233.htm | 发货时效与延迟赔付,人工审核通过,人工审核,2026-08-12,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,digital,TRUE,diantuoyi.com/article/16500.html | 价格保护（分场景）,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-047,SCRIPT-047,TRUE,builtin:ecommerce-sop-v1 | 好评返现吗 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-034,SCRIPT-034,TRUE,builtin:ecommerce-sop-v1 | 退货运费谁出 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-040,SCRIPT-040,TRUE,builtin:ecommerce-sop-v1 | 售后要提供什么证据 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-039,SCRIPT-039,TRUE,builtin:ecommerce-sop-v1 | 商品有质量问题 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-031,SCRIPT-031,TRUE,builtin:ecommerce-sop-v1 | 显示签收但没收到 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-010,WARR-1a256956,TRUE,builtin:ecommerce-sop-v1 | 保修多久 | m.zjtcn.com/news/51290604.html | 小家电整机保修1年,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-033,SCRIPT-033,TRUE,builtin:ecommerce-sop-v1 | 拆封了还能退吗 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-042,SCRIPT-042,TRUE,builtin:ecommerce-sop-v1 | 我要投诉 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-036,SCRIPT-036,TRUE,builtin:ecommerce-sop-v1 | 退款多久到账 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-046,SCRIPT-046,TRUE,builtin:ecommerce-sop-v1 | 能加微信处理吗 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-004,SCRIPT-004,TRUE,builtin:ecommerce-sop-v1 | 尺码怎么选 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-MANUAL-51a5,Y-D01-M,TRUE,manual | 云织羽绒服充绒量是多少？,人工审核通过,人工审核,2026-08-12,0.9,rule+human
1,REFERS_TO,FAQ-SCRIPT-035,SCRIPT-035,TRUE,builtin:ecommerce-sop-v1 | 可以换个尺码吗 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,REFERS_TO,FAQ-MANUAL-8fbb,RETURN-9d637afd,TRUE,manual | 数码产品激活后还能退货吗？ | help.dangdang.com/details/page95 | 数码商品退换货,人工审核通过,人工审核,2026-08-12,0.9,rule+human
1,RELATED_TO,SCRIPT-013,FAQ-SCRIPT-013,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-005,FAQ-SCRIPT-005,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-017,FAQ-SCRIPT-017,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-051,FAQ-SCRIPT-051,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-049,FAQ-SCRIPT-049,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-009,FAQ-SCRIPT-009,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-032,FAQ-SCRIPT-032,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-006,FAQ-SCRIPT-006,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-026,FAQ-SCRIPT-026,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-038,FAQ-SCRIPT-038,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-025,FAQ-SCRIPT-025,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
1,RELATED_TO,SCRIPT-028,FAQ-SCRIPT-028,TRUE,builtin:ecommerce-sop-v1 | builtin:ecommerce-sop-v1,人工审核通过,人工审核,2026-08-12,1.0,rule
